,norisk d* len,norisk d* t,opp path d* len,opp ctr d*,opp d* t,av path d* len,av ctr d*,av d* t,med path d* len,med ctr d*,med d* t,norisk a* len,norisk a* t,opp path a* len,opp ctr a*,opp a* t,av path a* len,av ctr a*,av a* t,med path a* len,med ctr a*,med a* t
33,40,0.01370107600001802,40,4,0.6252475819999859,42,0,0.020505706999983886,42,0,0.020695220999982666,40,0.05150834699998086,41,1,0.0655383200000017,42,0,0.04135603600002469,41,1,0.05961103100000287
34,35,0.011752126999994061,35,0,0.012198565000005601,47,0,0.03303809800002,47,0,0.03193838699999674,35,0.028092380999993338,35,0,0.03224651700000436,47,0,0.04053885100000798,35,0,0.029193403999983047
35,44,0.04990656500001478,44,6,0.48053603700000735,44,0,0.02883833899997512,44,0,0.029073977999985345,44,0.056359963000005564,49,3,0.21840277100000094,44,0,0.04685006599999042,48,2,0.206362759000001
36,9,0.0006252010000196151,9,0,0.0004600239999774658,9,0,0.0004525420000049962,9,0,0.0004520509999963451,9,0.0001775229999907424,9,0,0.0001843480000047748,9,0,0.00018175200000314362,9,0,0.00018296599998279817
37,54,0.01813193600000318,54,3,0.5248517050000032,144,0,0.36402819200000636,,6,1.2391263229999936,54,0.07004539400000453,56,2,0.20220893300000853,136,12,6.117462178000011,56,2,0.19535782900001664
38,32,0.013144368000013174,32,10,0.31316360200000304,,4,1.730902020000002,,5,0.09476734500000816,32,0.003827355999987958,54,12,0.057115503000005674,52,8,0.03895547700000179,52,8,0.0663969259999817
39,38,0.026343408000002455,38,11,0.9545203270000115,38,1,0.015277620000006209,38,1,0.0556382550000194,38,0.015630755999978874,50,4,0.0594202320000079,38,0,0.905454318000011,39,1,0.06544916599997919
40,62,0.07234641599998781,62,15,0.6893543590000206,68,0,0.6535246070000085,68,0,0.15943178000000557,62,0.12982749199997556,125,17,2.075380214000006,68,0,0.10335726200000295,78,6,1.0258502030000045
41,86,0.07143114199999445,86,26,1.1899074979999966,154,2,0.9339078780000136,104,0,0.6034483119999834,86,0.25125585099999626,95,5,0.8485961420000194,145,1,2.2421999019999816,88,2,0.770191777000008
42,30,0.006641844999990099,,1,0.06596970399999691,36,1,0.34127076600000805,36,1,0.06849411099997837,30,0.01687171399998988,70,12,0.05625161300000059,36,0,0.01815806400000497,57,5,0.06116940800001203
43,52,0.03976845799999751,52,3,0.5245828859999904,90,0,0.13264249999997446,62,0,0.11195269500001359,52,0.06462237900001355,52,0,0.07781457299998351,76,0,0.9813324269999839,54,0,0.11866396700000337
44,29,0.009454004999980725,29,3,0.45017717300001436,49,0,0.03776339300000586,49,0,0.03869862999999896,29,0.012568394999988186,33,2,0.02660626200000138,49,0,0.025828211000003876,32,1,0.040089296999980206
45,53,0.04651038399998697,53,15,0.7228017739999757,79,0,0.16664233700001319,53,0,0.14784284500001377,53,0.10571842899997819,53,0,0.138603546000013,79,0,1.3406120260000023,53,0,0.1798789119999924
46,45,0.04838717999999176,45,1,0.062381189000007,45,1,0.05899075100001028,45,1,0.057425351999995655,45,0.07424520800000778,68,9,0.7853702750000195,45,0,0.08622062199998481,67,8,0.7998250729999938
47,26,0.0059350429999938115,26,0,0.006025740000012547,26,0,0.0038999490000151127,26,0,0.0045814089999964835,26,0.010907660000015085,26,0,0.010795543000000407,26,0,0.7763822840000216,26,0,0.02322922399997651
48,37,0.02129611999998815,37,0,0.023668868999976667,37,0,2.2230741109999883,37,0,0.1521411409999871,37,0.020183098999979165,39,2,0.07154504900000802,37,0,0.023393605999984857,37,0,0.02377486900002168
49,,0.3035409039999877,,0,0.3946711789999995,,0,1.448793027999983,,0,0.5771159909999994,,0.0001295179999942775,,0,0.00013002100001813233,,0,0.00011674099999936516,,0,0.00011855200000354671
50,13,0.0015645080000012968,13,0,0.0015447339999923315,13,0,0.0015532969999867419,13,0,0.0016300780000051418,13,0.001855311000014126,13,0,0.0019201750000092943,13,0,0.0019115630000214878,13,0,0.0019135409999933017
51,93,0.1611568719999923,93,27,1.1016058579999992,109,0,1.9784027009999932,109,0,1.0090587249999885,93,0.13201008499999034,97,4,0.7072436729999936,111,2,0.7953996429999961,109,8,1.5851717189999874
52,43,0.025009877000002234,43,0,0.026741152999989026,47,0,0.02783201300002247,47,0,0.02601250900002583,43,0.04169449799999825,44,1,0.060754994000006945,47,0,0.052918000999994774,47,0,0.06978453299998932
53,49,0.015700223999999707,49,3,0.4724878140000044,51,0,0.023453546000013148,51,0,0.023603250000007847,49,0.07614128399998776,49,0,0.10640376799997853,51,0,0.07416600699997389,49,0,0.10070106899999587
54,,0.628807428000016,,1,0.5488346989999968,,2,1.924424001999995,,2,1.2284258630000124,,0.002204409000000851,,8,1.2969622530000038,,6,1.5228718660000027,,8,1.983815677999985
55,64,0.03535439000000906,64,8,1.2333501319999982,106,2,1.2346693089999974,78,2,0.6018408059999842,64,0.13395025600001986,66,2,0.6598610759999985,104,0,0.45821907199999146,73,3,0.39597947300001124
