,Base D* Path Length,Base D* Time,Opportunistic D* Path Length,Opportunistic D* # Replans,Opportunistic D* Time,Risk-Averse D* Path Length,Risk-Averse D* # Replans,Risk-Averse D* Time,Moderate Aversion D* Path Length,Moderate Aversion D* # Replans,Moderate Aversion D* Time,Base A* Path Length,Base A* Time,Opportunistic A* Path Length,Opportunistic A* # Replans,Opportunistic A* Time,Risk-Averse A* Path Length,Risk-Averse A* # Replans,Risk-Averse A* Time,Moderate Aversion A* Path Length,Moderate Aversion A* # Replans,Moderate Aversion A* Time
18,3,0.00015735599999899819,3,0,0.00013343100000184904,3,0,0.00020791800000097282,3,0,0.000279399000000069,3,5.252800000121738e-05,3,0,4.792000000009011e-05,3,0,0.0011935240000013891,3,0,0.00014250699999962535
19,22,0.006063114999999897,22,0,0.0054898259999980326,22,0,0.005258017999999254,22,0,0.005389407000002677,22,0.004608628999999809,22,0,0.006762247999997584,22,0,0.0566264820000022,22,0,0.008805954999999699
20,,0.00018041199999885293,,,,,,,,,,,0.07097052199999965,,,,,,,,,
21,42,0.018470328999999452,42,5,0.8455004039999992,44,1,0.05099656799999863,42,1,0.24276295800000014,42,0.03055671199999921,52,4,0.10277008499999951,53,3,0.385578289999998,53,3,0.14968102699999974
22,11,0.001110057000001774,11,1,0.0032338239999987195,17,0,0.0024045450000009794,17,0,0.0018794319999990705,11,0.001451343999999466,11,0,0.0013790130000010947,11,0,0.08738714400000092,11,0,0.004374874999999889
23,7,0.0005737140000015017,7,0,0.0005390170000012517,7,0,0.0005292339999982687,7,0,0.0005379199999993034,7,0.00039778500000053896,7,0,0.000500512999998648,7,0,0.00042613300000127197,7,0,0.00043265600000097493
24,66,0.07458804099999838,,,,114,3,0.23439477400000186,,,,66,0.027597552000003134,79,5,0.280834801000001,75,1,0.1525622019999986,,,
25,39,0.020276481999999874,,,,39,0,0.023688650000000422,39,0,0.023541977999997243,39,0.01313224900000165,66,5,0.07170237000000057,39,0,0.015076537999998862,64,5,0.07060389800000166
26,46,0.016312772999999225,,,,46,1,0.6281385770000014,,,,46,0.022107321000000013,123,13,0.1410629710000002,57,3,0.45319191799999814,80,6,0.12038715500000308
27,11,0.001198122999998219,11,1,0.0030780680000006555,71,8,0.32083974799999737,11,1,0.020623546999999576,11,0.0015201910000008922,11,0,0.002168039000000732,71,0,0.08574546600000232,11,0,0.0020100360000014916
28,34,0.016972691999999512,34,13,0.46040252299999906,34,0,0.12871495299999935,34,0,0.014931922999998903,34,0.02229713599999883,35,1,0.03763995799999975,45,3,0.4903576220000012,45,3,0.09572850800000055
29,55,0.044476533000000984,55,13,1.0695369929999998,65,3,0.49930909299999726,65,3,0.19467380900000109,55,0.03150700799999839,81,10,0.25889189999999473,104,11,2.8442655340000016,71,6,0.344833849000004
30,59,0.02466852300000255,59,17,0.9851871460000012,,,,,,,59,0.07432912600000208,88,9,0.22932944800000143,74,5,0.8583093690000041,74,5,0.33228432399999974
31,45,0.024564445999999407,45,1,0.047617326000001015,49,1,0.5936881029999981,49,1,0.07065911700000527,45,0.02448432199999928,49,2,0.06186397300000124,49,0,0.036843502000003525,47,0,0.04260698500000615
32,,0.11276557100000417,,,,,,,,,,,0.0003380349999986265,,,,,,,,,
33,45,0.024664342000001227,45,1,0.27861761300000154,85,0,0.1871697599999962,47,0,0.12304633699999812,45,0.027430696999999782,48,3,0.10668955999999952,48,3,0.7397368820000025,48,3,0.14757689500000026
34,55,0.07040766500000473,,,,65,4,0.39923771100000494,,,,55,0.04167760600000037,81,10,0.222886527,83,8,2.0103162119999993,85,10,0.2650770609999995
35,38,0.015339148999998997,38,0,0.01920426699999922,38,0,0.3691158470000033,38,0,0.07496630100000345,38,0.016094422999998415,40,2,0.04096419200000412,96,0,0.06572806900000217,44,2,0.05313571699999642
36,,5.5504999998845506e-05,,,,,,,,,,,0.06453934500000003,,,,,,,,,
37,45,0.030035738999998784,45,5,0.2907508370000045,45,0,0.15250831999999548,45,0,0.06550508299999791,45,0.034712384000002316,54,7,0.2737094670000033,,,,,,
38,40,0.014144524000002434,40,7,0.2618807439999955,46,0,0.024203649999996912,46,0,0.024211961000006,40,0.018027119999999286,57,7,0.12591808199999832,48,0,0.27065130500000123,44,2,0.09103582700000601
39,27,0.009065719000005856,27,1,0.02336984299999756,27,0,0.0063474170000006325,27,0,0.006043123000004869,27,0.011628210000004913,,,,27,0,0.25749160500000556,27,0,0.028855240000005722
40,38,0.004042076000004613,38,2,0.0686301940000007,44,0,0.01016677900000218,44,0,0.00929773200000028,38,0.01768026599999928,40,2,0.0374148849999969,46,2,0.15897204599999526,42,2,0.05561030900000219
41,14,0.0017483700000013869,14,1,0.003968228999994494,14,0,0.0022810629999980847,14,0,0.0021655350000031603,14,0.0017368449999963786,14,0,0.0032447030000000154,14,0,0.18375890400000117,14,0,0.005013933000000748
42,30,0.008216517000001033,30,0,0.00938292500000415,48,1,0.04087919399999862,34,1,0.03475795500000345,30,0.010261500999995121,30,0,0.014907784000001811,42,0,0.2606869990000007,30,0,0.021999623999995777
