,norisk d* len,norisk d* t,opp path d* len,opp ctr d*,opp d* t,av path d* len,av ctr d*,av d* t,med path d* len,med ctr d*,med d* t,norisk a* len,norisk a* t,opp path a* len,opp ctr a*,opp a* t,av path a* len,av ctr a*,av a* t,med path a* len,med ctr a*,med a* t
27,25,0.008281216000000313,25,1,0.017577480999996453,25,0,0.00794647000000026,25,0,0.007843042999994054,25,0.00865170600000198,25,0,0.012112597999994534,25,0,0.12645636700000296,25,0,0.020003187000000366
28,41,0.022650743999996337,41,4,0.2685188740000015,45,1,0.02679055700000532,45,1,0.09137490700000228,41,0.02137901600000447,60,7,0.06179049300000372,45,0,0.2940321370000021,45,0,0.052802978999999084
29,19,0.004728843000002314,19,1,0.20118660600000027,23,0,0.03839480999999978,23,0,0.012387801000002696,19,0.0035507690000002867,19,0,0.006335631999995428,19,0,0.16762158299999896,19,0,0.009096252999995613
30,,0.12802158099999872,,0,0.16661606700000675,,0,0.4364628690000032,,0,0.24779275199999518,,4.5757999998841115e-05,,0,3.8400999997634244e-05,,0,3.450199999832648e-05,,0,3.366500000367978e-05
31,31,0.020755033999996897,31,1,0.028823949999996046,31,0,0.007852612000000647,31,0,0.008003933000004793,31,0.01743280900000599,,4,0.07050205999999548,31,0,0.18634225200000287,31,0,0.03762601200000404
32,30,0.005761552999999253,30,0,0.0062111350000009224,30,1,0.13987345299999987,30,1,0.1407825599999981,30,0.009132015999995247,30,0,0.010514929999999367,32,0,0.0080136710000005,32,0,0.010464057000000082
33,42,0.013301119000004746,42,3,0.27527343500000256,86,0,0.30400290100000404,56,1,0.2916391250000032,42,0.039919824999998355,44,2,0.05221515299999879,48,0,0.09131603400000188,48,0,0.061728269999996144
34,53,0.025050949000004152,,7,0.30587927300000217,87,1,0.4283383220000019,57,1,0.2545976630000055,53,0.023515244999998686,71,6,0.19313359200000235,87,0,0.05470564999999539,82,5,0.17241606799999687
35,49,0.03404121999999887,49,2,0.210176342000004,59,1,0.41021380000000107,59,1,0.1510076920000003,49,0.02971662000000208,54,3,0.09936523399999686,59,0,0.030804330000002267,53,0,0.05008611699999932
36,12,0.0014006110000011063,12,0,0.0015353809999965051,12,1,0.26718049400000154,12,1,0.033415294999997514,12,0.001047640999999544,12,0,0.001456710000006467,12,0,0.0005735549999954515,12,0,0.00057229400000125
37,49,0.0316309969999935,49,1,0.276475376999997,75,0,0.07728166100000067,49,0,0.049549806999998225,49,0.02909629799999891,66,5,0.18329323899999395,75,0,0.30275215000000344,53,2,0.1969853100000023
38,36,0.01734829600000154,36,4,0.2268026189999972,42,0,0.04957774100000023,42,0,0.04785468899999756,36,0.02516600799999935,36,0,0.030378634000001625,42,0,0.014503230999999062,42,2,0.09820908900000092
39,43,0.0348536900000056,43,2,0.26890729599999474,55,3,0.3538655179999992,55,3,0.29865261900000206,43,0.03053083100000009,47,2,0.11087728500000082,55,0,0.04761019300000413,43,0,0.04819451200000202
40,48,0.034090760000005105,48,2,0.08994102799999837,50,2,0.0224131610000029,50,2,0.07890241500000172,48,0.06511555499999844,50,2,0.18410534000000212,48,0,0.1855790779999964,48,0,0.09441589700000463
41,45,0.014983051999998054,45,2,0.04585348899999531,45,0,0.015668067000000008,45,0,0.015589130000002172,45,0.017585145999994722,63,8,0.14938577600000258,45,0,0.02324815899999777,45,0,0.026028513999996505
42,44,0.024730044000001783,44,6,0.3852514389999939,70,3,0.058491702000004864,,4,0.37685411900000076,44,0.021919719000003113,68,8,0.10570852800000097,94,0,0.2931049159999972,68,6,0.21894947999999914
43,61,0.03093035900000274,61,0,0.041308455999995886,77,0,0.4616979450000045,77,0,0.1285224469999946,63,0.019026125000003447,74,5,0.06472739800000227,76,1,0.10927876599999564,79,4,0.09222661899999451
44,41,0.016463573000002896,41,4,0.2620802779999991,51,1,0.2532075109999994,51,2,0.2358337589999948,41,0.016707062000001827,44,3,0.042799162999997975,44,3,0.42666394100000105,44,3,0.07222913399999698
45,45,0.020208053999994036,45,7,0.43390976100000245,59,2,0.22964992299999665,59,2,0.1898993540000049,45,0.031876027999999224,57,4,0.06431204300000104,58,1,0.10464255600000172,46,1,0.10219205100000295
46,33,0.009907915999995964,33,1,0.0207478210000005,43,1,0.03343961099999859,43,1,0.03288779100000028,33,0.01687458300000344,34,1,0.03241400099999936,43,0,0.01710466699999813,33,0,0.02110021500000414
47,23,0.002614014999998915,23,1,0.015483613000000673,49,1,0.30187908500000304,25,0,0.1663103079999999,23,0.00409299900000093,24,1,0.008645025999996392,48,1,0.015999968000002696,24,1,0.009046232999999404
48,32,0.013547414000001368,32,0,0.014518987999998956,42,0,0.1264632320000061,42,0,0.05295457100000078,32,0.017710684000000754,34,2,0.06530164200000144,44,0,0.05513082800000291,32,0,0.03497570100000047
49,46,0.01284876600000473,46,7,0.34658663900000164,122,3,0.2752223730000054,54,0,0.0665959269999945,46,0.04489238100000392,47,1,0.08774088799999902,47,1,0.3608675900000051,47,1,0.12878560800000116
50,19,0.0021224549999985243,19,1,0.004088445000000718,57,2,0.34674022600000143,37,0,0.046311971999998036,19,0.002466378999997687,19,0,0.00363069199999444,21,0,0.17438532699999598,21,0,0.003425516000000073
51,28,0.013318030000000647,28,0,0.014938698000001693,,1,0.08198215799999531,28,0,0.04367903400000017,28,0.018820291000004374,32,2,0.03589653400000259,28,0,0.10389835199999453,28,0,0.02123161100000459
52,9,0.0006623530000027245,9,0,0.0013840399999978104,21,0,0.06925067999999612,13,0,0.021812556000000427,9,0.0005229040000003238,11,2,0.0023346069999945485,17,0,0.0016737999999989484,11,2,0.0023537109999978156
53,44,0.015515444000001821,44,7,0.3425542700000008,52,1,0.16877719700000426,52,1,0.1320059520000001,44,0.03488028200000315,62,8,0.3017479310000013,56,0,0.3616256449999966,59,3,0.26019271700000246
54,27,0.012269474999996532,27,0,0.013351364000001809,27,1,0.01990355699999924,27,1,0.02009292000000329,27,0.013764269999995804,27,0,0.017950511999998753,29,0,0.007141527999998232,27,0,0.016859950000004176
55,43,0.011009051999998576,,4,0.09348687600000005,57,0,0.16610659200000555,57,0,0.09875061099999982,43,0.009133151999996869,,9,0.08327467099999808,57,0,0.022154831999998237,,5,0.05186297500000592
56,,0.0010688679999972805,,7,2.594175364999998,,2,0.2847891800000042,,2,0.5604622090000007,,0.07567776100000145,,8,0.6238436080000014,,8,1.9006166329999985,,10,1.1547096320000065
57,30,0.013079828999991605,30,3,0.22531274900001108,32,1,0.232934685999993,32,1,0.0864487190000034,30,0.014232926000005364,32,2,0.06513441999999259,32,0,0.010872907999996073,32,0,0.02315907599999889
58,39,0.015172380999999291,39,7,0.22210248899999385,71,1,0.09025170599998944,49,0,0.06280536199999176,39,0.03271922700000118,49,6,0.14347317099999657,61,4,0.24759555600000738,54,5,0.18083763700001043
59,4,0.00024095599999895967,4,0,0.0002176729999945337,4,0,0.0002575040000039053,4,0,0.00021412799999609433,4,8.1413999993174e-05,4,0,8.36279999987255e-05,4,0,7.977600000685925e-05,4,0,7.990699999993467e-05
60,49,0.05159308800000417,49,4,0.28900125999999204,53,0,0.5173448000000036,53,0,0.1910783969999983,49,0.033480335000007244,57,2,0.11198414700000114,57,0,0.2880133739999877,51,0,0.07696642999999881
61,37,0.008743483000003494,,2,0.01002331899999831,37,0,0.014344844999996553,37,0,0.013759110999998825,37,0.00440222799998935,56,5,0.008831606999990527,49,2,0.5962470249999967,49,2,0.017408083999995938
62,,0.17149956000000088,,4,0.06261194200000375,,4,0.30094012099999645,,4,0.2768114940000004,,6.016899999394809e-05,,4,0.12874209499999267,,4,0.7173028659999972,,4,0.2167949990000011
63,45,0.008818169999997849,45,6,0.2428998780000029,59,0,0.027587274000012485,59,0,0.026921850999997332,45,0.022602911999996422,48,1,0.05789573700000972,59,0,0.045257078999995315,72,5,0.10079523800000345
64,24,0.006398253000000409,24,6,0.1949016599999993,,3,0.01260617100000161,24,3,0.15521946499998762,24,0.010682901999999217,24,0,0.012792017999998961,24,0,0.054466803000011055,24,0,0.011093978999994647
65,31,0.006199366000004147,31,10,0.2775822099999914,37,2,0.1579369300000053,37,2,0.060902092999995716,31,0.01023636499999725,39,6,0.017367049000000634,39,0,0.012539019000001872,38,3,0.019449372000011067
66,49,0.01776464599998917,49,10,0.24794014399999753,,1,0.25323917699999754,,1,0.08189650899998924,49,0.028142314999996643,52,3,0.14027333600000702,72,5,0.7144286089999952,56,3,0.17759091500001034
