,norisk d* len,norisk d* t,opp path d* len,opp ctr d*,opp d* t,av path d* len,av ctr d*,av d* t,med path d* len,med ctr d*,med d* t,norisk a* len,norisk a* t,opp path a* len,opp ctr a*,opp a* t,av path a* len,av ctr a*,av a* t,med path a* len,med ctr a*,med a* t
20,24,0.0074702599999980634,24,0,0.006048010999997189,24,0,0.0034458459999981983,24,0,0.00405319600000098,24,0.007879606999999567,24,0,0.009168239000004519,24,0,0.0068083450000031576,24,0,0.006060105999999621
21,47,0.03742722599999837,47,5,0.2418560819999982,47,2,1.4756451550000023,47,2,0.1317730680000011,47,0.02712053399999803,47,0,0.04957904199999774,49,0,0.03317369300000195,49,0,0.06074889399999961
22,38,0.008176893000005236,60,11,2.305056735000001,40,0,1.5847110949999887,40,0,0.04341279300000167,38,0.013485943999995698,74,10,0.036190743999995334,40,0,0.014094302999993147,74,10,0.04507840600000179
23,44,0.02819888899999512,44,4,0.7120451770000074,84,0,0.4224055139999905,84,2,0.5133965180000075,44,0.0392671230000019,50,6,0.3852730000000122,88,0,0.10513263699999698,51,3,0.16404495700000155
24,46,0.03785523100000887,46,12,0.6745570970000045,58,0,0.11382899100000543,58,1,0.17209049999999593,46,0.03411798499999463,48,2,0.17503785100001323,60,0,0.8446853660000073,111,13,0.974545710000001
25,49,0.05521508900000072,49,7,0.6466623959999964,79,4,0.41807029000000284,59,4,0.15238563799999838,49,0.04892813700000431,55,4,0.14780492299999537,80,1,0.8590818200000001,54,3,0.18039120299999922
26,67,0.08766184699999258,67,3,0.3984066439999907,85,1,0.1512565600000073,69,1,0.13969288799999902,67,0.08711371500000098,77,6,0.6761806270000079,87,0,0.09661959599999648,67,0,0.1599059469999986
27,53,0.06534342700000195,,6,0.3499171889999957,109,0,0.27521181000000183,,3,2.2153662710000077,53,0.046152526000000194,73,8,0.14492893199999912,103,0,0.788741131000009,,2,0.15264750500000446
28,22,0.005815815999994811,22,3,0.03423218999999733,22,1,0.0046101009999972575,22,1,0.008126003000000992,22,0.010307453000010014,28,4,0.028499455000002172,22,0,0.8774763250000035,22,0,0.0230008679999969
29,96,0.1702161570000129,96,30,4.251600107999991,122,2,1.0905667250000022,122,2,0.3305384189999927,96,0.20840924300000552,107,9,2.2821441550000117,120,2,1.1135297529999946,101,5,1.4506469600000003
30,43,0.01365864000000272,43,4,0.4566946720000118,73,2,1.0760935579999966,43,1,0.3543654040000064,43,0.02884056399999224,65,8,0.14868730999999968,77,0,0.07868524799999932,43,0,0.07300036499999862
31,54,0.034754261999992764,,7,0.06180949000000169,62,0,0.9773987929999919,,1,0.029568158000003564,58,0.031166162000005215,,27,0.04498366400000009,,20,6.774982887000007,,24,0.13092387700000074
32,17,0.0035128769999914766,17,1,0.009846366000004991,41,1,0.013483340000007615,41,1,0.016874075999993465,17,0.004109282000001713,24,5,0.012949568999999883,43,0,0.007463537999996106,19,2,0.010129852000005712
33,55,0.05781350099999827,55,10,0.6226326870000065,,4,1.7323988649999933,55,1,0.37914619599999355,55,0.03518449199999907,178,31,1.0257720019999965,105,8,7.211434707000009,96,13,1.4177869210000011
34,50,0.04583614799999225,,5,0.08926698599999838,,3,1.6240508860000062,,7,0.21412007099999641,50,0.010528936000000044,76,6,0.10668261200000018,76,6,0.1661992760000004,,6,0.07685997599999439
35,38,0.02111131999998861,38,1,0.037031447000003936,58,0,0.07688135300000454,42,0,0.040947995999999875,38,0.03516714899998874,41,1,0.044705093999994006,58,0,0.04909039200001075,42,0,0.04426817599998856
36,31,0.015084604999998419,31,4,0.41408765399999936,89,0,0.15686990200001105,,2,0.2916809299999983,31,0.01055859299999895,37,4,0.0228254579999998,33,2,1.383635721999994,33,2,0.027087937999993983
37,57,0.049908605999988254,57,3,0.5323655930000086,91,0,0.34559020700000076,65,0,0.30127382500000977,57,0.08294388500000593,58,1,0.20058343499999864,91,0,0.13068037899999752,62,1,0.22431181799998967
38,21,0.0022397310000030757,21,0,0.0022096910000044545,21,0,0.002237085000004413,21,0,0.002221582999993643,21,0.005053230000001463,21,0,0.005720598000010568,21,0,0.005239502999998535,21,0,0.005342337000001862
39,64,0.10736745599999153,64,8,0.7924314109999955,82,1,0.8611109419999963,82,1,0.7258638140000073,64,0.14073279199999433,101,17,1.70951728,84,0,0.3085178620000022,67,3,0.7731483899999887
40,84,0.14971963100001062,84,7,0.38909995800000274,158,2,1.611378856999977,118,3,0.726891658999989,84,0.18032446300000515,100,8,1.5913164190000089,102,8,7.645798534999983,102,8,2.063707749999992
41,89,0.14739203099998122,89,17,0.7708625909999967,183,3,1.558088476999984,125,10,0.8408834100000036,89,0.2241404389999957,,2,0.5497706339999979,191,6,3.826681848000021,91,2,0.8893512360000102
42,38,0.01911375299999918,38,7,0.45805478599999105,48,0,0.03429471800001238,48,0,0.03431482499999561,38,0.023043874000023834,47,5,0.09502262699999164,48,0,0.7029035630000067,49,3,0.20425553999999124
43,75,0.05929538199998774,75,2,0.26223867699999914,97,4,0.12862248400000453,97,4,0.12517583100000707,75,0.15071008900000038,99,4,0.44840438800000015,115,8,7.463448392999993,79,0,0.24242583200000922
44,26,0.003770365000008269,26,1,0.007226849999995011,26,0,0.003015603999983796,26,0,0.0032159210000202165,26,0.005597402999995893,26,0,0.0074355250000053275,26,0,0.0051762679999853844,26,0,0.005748691000007966
45,28,0.007708058000019946,28,2,0.468536835000009,28,0,1.6178302980000012,28,0,0.07177837200001136,28,0.016694661000002498,28,0,0.01987665100000413,28,0,0.7382302880000111,28,0,0.0371390990000009
46,31,0.0050296270000274035,31,0,0.0061172779999765226,47,0,1.4681005010000092,47,0,0.06600615099998208,31,0.008915970999993306,31,0,0.010878138000009585,41,0,0.011673330000007809,34,1,0.011405832000008331
47,25,0.00883586500000888,25,0,0.009113164999973833,25,0,0.008716078000020389,25,0,0.008723408999998128,25,0.003923759999992171,25,0,0.004377378000015142,25,0,0.0038241139999968254,25,0,0.00387215500001048
48,81,0.11511496899998974,81,3,0.44813508699999716,113,0,0.25235716700001376,101,0,0.30320237600000155,81,0.14588266999999178,82,1,0.37355098700001577,113,0,0.40151841400000876,93,4,1.0788292619999993
49,80,0.09188358599999447,80,21,0.9848463300000105,84,0,0.1328173079999999,84,0,0.12527369399998634,80,0.16153477599999633,,7,0.8042542139999966,84,0,0.8393937360000052,84,0,0.2804985520000116
50,88,0.14208313899999325,88,5,0.7788687209999807,90,1,0.21751748100001578,90,1,0.19654342800001245,88,0.20134757300002093,91,3,0.6409359419999987,90,0,0.19786423400000785,91,1,0.4212244389999853
51,21,0.005550755999990997,21,1,0.010794964000012897,21,1,0.009193688000010525,21,1,0.009139126000007991,21,0.005725455999993301,21,0,0.008188877000009143,21,0,0.005573244999993676,21,0,0.0062914659999933065
52,96,0.1290150229999938,,1,0.10840692200000035,126,2,0.3076033940000116,,1,0.27438866999997913,100,0.06534168199999613,137,17,1.1781922469999984,136,0,0.17547584799999072,152,18,1.3343032569999878
53,46,0.022375003999997034,46,15,0.358650511999997,,5,2.202952157999988,,9,0.43486216900001295,46,0.019256675999997697,,6,0.16726934299998675,86,6,0.15332900199999244,,8,0.21633314900000755
54,108,0.1872437170000012,,11,0.20147118600002045,134,0,1.4263652140000147,134,0,1.5095720069999743,108,0.18693577299998765,126,8,0.3781641509999929,134,0,0.4240958980000187,165,17,3.878353754999978
55,44,0.03020280699999489,44,6,0.4006720929999972,52,0,0.044144928000008576,52,0,0.04309463399999913,44,0.04195407700001397,66,10,0.3434781070000099,50,0,0.9045384779999779,44,0,0.08270777500001714
56,63,0.06460877200001391,63,1,0.174308252000003,63,0,0.0441179319999776,63,0,0.04694910099999561,63,0.08936471099997334,67,2,0.24431599299998652,63,0,0.1314279150000175,63,0,0.1528857890000097
57,67,0.11574079399997572,,4,0.15717527999998993,135,0,0.2593818689999807,73,0,0.27668983699999217,67,0.10217578900000035,,14,1.0559599040000194,137,0,0.30522941200001696,95,10,1.2553665350000074
58,9,0.0011140989999773865,9,0,0.0010924530000124832,9,0,0.000987440999978162,9,0,0.0014264490000073238,9,0.0010109389999968244,9,0,0.0009198429999912605,9,0,0.0004162000000178523,9,0,0.0004136640000069747
59,59,0.06676818200000412,59,2,0.6607734499999935,67,0,0.9822416480000129,67,0,0.24919215299999564,59,0.07334578600000441,70,7,0.7851390330000072,67,0,0.18722353600000474,,3,0.3715948540000227
60,90,0.3009983150000153,90,4,0.5402239099999804,124,1,1.683454697000002,,1,0.8787431959999878,90,0.17680718299999398,93,1,0.3056089970000073,118,0,0.23236397599998782,90,0,0.34686441099998433
61,73,0.052474982000006776,73,6,1.2380006979999791,111,0,0.46001277600001345,,1,6.519874616999999,73,0.24270468500000675,76,3,0.2591432720000171,111,0,0.47522266699999705,85,4,0.37914431300001183
62,97,0.17579484799998113,97,17,0.8806987910000146,177,1,1.0228440570000146,119,3,0.8352574360000062,99,0.11619305100001043,105,6,0.8266316039999992,179,0,1.0073976669999922,133,14,2.412428580000011
63,122,0.21903454900001407,,1,0.19664630500000158,194,0,1.8718501339999989,160,1,0.9088206870000022,122,0.1467344609999941,174,22,2.926730305999996,214,2,3.4388678830000003,,9,1.9899221240000031
64,47,0.011877798000000439,47,4,0.3153502190000097,63,0,0.18508463599999914,63,0,0.01944261899998878,47,0.01731751200000531,53,2,0.046966827999995076,53,0,0.40315971500001524,51,2,0.05133668800002056
65,65,0.07328435300001956,65,2,0.5184646420000263,,2,0.5854960700000049,65,1,0.41432156000001896,65,0.14045102099998985,65,0,0.15094593200001327,128,11,11.945947837000006,65,0,0.1945922600000074
66,59,0.047632964999991145,59,3,0.6033465300000103,59,1,0.03315038400000958,59,1,0.05769039099999418,59,0.08597638499998084,60,1,0.18897755300000085,59,0,0.944967915999996,59,0,0.15156077399998935
67,103,0.23288880399999812,,14,1.3206266159999984,139,0,1.821065960999988,139,0,0.8987926290000132,105,0.2400983449999785,112,3,1.053581075000011,139,0,0.5103855450000196,113,4,1.584287532000019
68,49,0.0277129569999488,49,4,0.4292537290000382,49,2,0.01637963299998546,49,2,0.031018218999975034,49,0.019679145999987213,49,0,0.026070834999984527,49,0,0.6677989059999732,49,0,0.03999353000000383
69,33,0.021115689999987808,33,9,0.39498757299998033,53,0,0.07449407799998653,37,0,0.04179097999997339,33,0.016540762000033737,39,4,0.061716906000015115,53,0,0.035085058999982266,40,3,0.05713368799996488
70,56,0.025758911000025364,56,10,3.364484070000003,64,1,0.027995648000000983,64,1,0.05638845600003606,56,0.07792834700001094,89,7,0.12292963599998075,,4,3.52410120899998,,4,0.13760614100004886
71,26,0.0038471390000154315,26,2,0.027722941000035917,28,3,1.2450218870000072,26,1,0.04821975499999098,26,0.0054834510000318915,86,16,0.10020503699996652,144,14,0.4377412569999706,86,16,0.0698017610000079
72,60,0.03955183200002921,60,18,1.5977312280000433,78,2,0.2493553519999523,78,2,0.25008669299995745,60,0.13379982399999335,88,10,0.2264582710000127,78,0,0.18690051299995503,66,2,0.5621181199999796
73,62,0.08564683000003015,62,4,0.2844074710000086,90,1,1.6423279269999966,68,1,0.43366003599999203,62,0.05639352399998643,68,4,0.1627466129999675,70,0,0.6589333609999812,64,0,0.10895688300001893
74,121,0.15123786600003086,,8,0.6605843140000047,,4,0.8177043910000066,,4,0.8714295689999858,121,0.20015577300000587,,24,2.5241153829999803,140,1,2.079433735000009,134,5,0.48412221699999236
75,42,0.009094178999987435,,8,0.5530637470000102,42,0,0.011536415000023226,42,0,0.012100868000004539,42,0.008922925999968356,71,9,0.06561182500001905,42,0,0.006015230000002703,47,3,0.020196569999995972
76,,9.935700001051373e-05,,3,0.880627612000012,,2,0.07159409500002312,,2,5.332915467000021,,0.267712787999983,,7,0.4204484710000429,,2,2.444266783000046,,1,0.433690031000026
77,110,0.345657985999992,,2,0.19198827399998208,148,3,1.089491398000007,132,2,1.002173905999996,110,0.1991174469999919,129,13,4.1668803779999735,167,1,0.726535489000014,130,10,3.2462972540000123
78,104,0.1831390899999974,,1,0.28667104699997026,132,2,0.6275307920000159,132,2,0.6817823569999746,104,0.2592444840000212,144,18,4.407981448999976,132,0,0.6563621079999962,,5,1.8802492750000397
79,56,0.03738562199998796,56,22,2.2753367249999883,,2,0.05585799200002839,,2,0.8047409710000011,58,0.08074244099998396,63,5,0.07032993199999282,71,5,4.827433872000029,63,5,0.12820804800003316
80,72,0.0433155080000347,72,4,0.6106626029999802,102,2,0.15043354599998793,76,0,0.06262182599999733,72,0.1662893820000022,73,1,0.36846533900001077,102,0,0.40833349600001156,82,0,0.26096681399997124
81,73,0.12759976900002812,,7,3.2190981979999833,77,2,0.17226839399995697,81,1,0.12000130000001263,73,0.1323714889999792,91,14,0.539649073000021,87,4,1.314157960999978,82,5,0.2203593229999683
82,43,0.03349445300000298,43,8,0.42919988800002784,59,0,0.09530869999997549,59,0,0.09557981500000778,43,0.0457479710000257,43,0,0.0593365899999867,52,3,3.0846947289999775,43,0,0.09598486800001638
83,17,0.002045875000021624,17,1,0.006010811999999532,17,0,0.0037125900000205547,17,0,0.0038216920000309074,17,0.0023894740000400816,17,0,0.0026243629999953555,19,0,0.48672951600002534,19,0,0.0044960420000279555
84,77,0.269642355999963,77,0,0.2963899559999845,137,0,0.22321364000003996,81,2,0.1924059269999816,77,0.12441694300002837,82,3,0.33894363000001704,137,0,0.4034616490000076,83,2,0.2570747519999941
85,89,0.28361167100001694,89,27,2.3309998240000027,117,1,0.7748663909999891,105,1,0.7133379900000136,89,0.19176239099999748,,9,2.2209536530000378,115,2,1.8752206099999853,,9,2.608886344000041
86,78,0.10749512699999286,78,11,1.0461092879999683,150,0,0.7318643399999587,,1,0.47567608800000016,78,0.1842881059999968,89,9,0.9248653189999914,125,1,2.568392997999979,90,6,1.027674085000001
87,56,0.10246925799998508,,2,0.09160935799997105,58,1,0.0731688949999807,58,1,0.07921356899998955,56,0.08438283599997476,102,8,0.2889295570000172,58,0,0.11762406400004011,79,3,0.3653652579999971
88,81,0.07824006399999917,81,23,2.383069465999995,149,0,0.6356514779999998,111,1,0.6102379839999799,81,0.13691320099997029,100,9,1.0717006220000371,151,0,0.36310860499997943,102,9,1.3841603889999874
89,24,0.010144797000009476,24,5,0.3957764429999884,44,0,0.031230854999989788,44,0,0.035203030999980456,24,0.007900639000013143,24,0,0.014739432999988367,44,0,0.9047264120000023,24,0,0.020421683999984452
90,39,0.005561357999965821,39,0,0.005126496999992014,47,1,0.11272360099997059,47,1,0.08986125199999151,39,0.02176560699996344,39,0,0.02606854300000805,45,0,0.6111173429999894,45,0,0.0542061339999691
91,29,0.004127011999969454,29,1,0.013464087999977892,49,0,0.026197893000016848,49,0,0.02239950199998475,29,0.02172648300000901,,4,0.04221787599999516,49,0,0.027043958000035673,,4,0.03545254499999828
92,,0.0001607529999887447,,4,0.3344197409999765,,2,1.9163894690000234,,2,0.29999703499998986,,8.853899998939596e-05,,4,0.1624552730000346,,4,3.889068703000021,,4,0.24295948999997563
93,57,0.07644294400000717,57,16,2.44741176499997,,1,0.7204886850000207,,3,0.5413330110000061,57,0.07905036800002563,113,12,0.9336519500000122,117,8,0.7420044239999584,112,11,0.8336583629999836
94,49,0.020286909999981617,49,10,1.4187461839999855,79,2,0.4192643060000023,65,1,0.1503624559999821,49,0.07389778300000671,53,4,0.27927876299997934,79,0,0.13468798700000661,53,4,0.343320881000011
95,74,0.056920898999976544,74,7,3.272391431000017,138,1,1.1868002810000462,,2,0.9463490210000032,74,0.20345158800000718,88,8,0.9281616609999901,112,0,0.6393830389999948,88,4,1.2446047769999495
96,48,0.027881227000023046,48,1,0.07414589800004023,56,1,0.04997692500000994,56,1,0.07366058999997449,48,0.04343592500003979,50,2,0.07873072400002457,52,0,0.7780902779999792,50,0,0.09719588999996631
97,22,0.005180680000023585,22,1,0.005330631999981961,28,0,0.012809059000005618,28,0,0.011285744000019804,22,0.005262254000001576,22,0,0.006683336999969924,28,0,0.007879019000029075,28,0,0.009466712999994797
98,60,0.029999558999975307,60,14,0.4931649000000107,92,0,0.1798603799999796,92,0,0.2200244429999998,60,0.07217058499998075,61,1,0.18796481300000778,92,0,0.13685788899999807,60,0,0.12200861100001248
99,48,0.029207312999972146,48,15,0.5041025319999903,56,2,0.47649469300000646,56,2,0.3181802679999919,48,0.03182923299999629,51,1,0.08504021200002398,56,0,0.07112098799996147,55,3,0.1406126249999602
